id;x;y;nomDeLieu;typeDeLieu;etatDuPoint;operateur;description;infoSurCharge;moyenDePaiement;stationnementPayant;acces;systemeIdentification;nombreDePlaces;reservation;lieuCouvert;ouvertToutLeTemps;energieRenouvelable;marque;modele
1;6,18189;48,689591;Parking place Charles III;Parking;Fonctionnel;Vinci;carte kiwhi à commander sur le site vincin fonctionne également avec Nissan Charge Pass;oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;6;impossible;oui;oui;non;Hager;Wallbox
2;6,178914;48,688979;Parking Saint Jean;Parking;En travaux;Ville de Nancy;Carte spéciale à acheter (20€) au parking Dom Calmet 17 rue st dizier (03 83 85 56 69);oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;4;impossible;oui;oui;non;Saintronic;Complea
3;6,178416;48,687278;Parking République Palais des Congrès;Parking;Fonctionnel;Vinci;Achat des cartes à l'entrée du parking, 20€ la carte de 20 unités. Chaque recharge, complète ou partielle, est facturée 2 unités, soit 2€ la charge.;oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;10;impossible;oui;oui;non;Saintronic;Complea
4;6,187064;48,685005;Parking Place des Vosges (ex-Pichon);Voirie;Fonctionnel;Ville de Nancy;;oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;4;impossible;non;oui;non;Saintronic;Complea
5;6,173571;48,686342;Parking Kennedy;Parking;Fonctionnel;Ville de Nancy;;oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;2;impossible;oui;oui;non;Saintronic;Complea
6;6,194964;48,679444;Parking Avenue de Strasbourg;Parking;Hors d'usage;Ville de Nancy;;oui;Inconnu;gratuit;Ouvert à tous;Badge à commander;1;impossible;oui;de 12h00 à 20h00;non;;
7;6,199045;48,680305;Auchan Nancy Lobau Centre ;Commerce;Hors d'usage;Auchan;KiWhi Pass + Nissan ZeroEmission Charge Pass + Renault ZE PASS;oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;2;impossible;oui;oui;non;DBT CEV;Quick charger
8;6,176319;48,708459;Particulier Maxéville;Particulier;Fonctionnel;Particulier;Identification par appel téléphonique au 0620648865;oui;Espèces;gratuit;Ouvert à tous;Appel téléphonique;1;Obligatoire;oui;de 11h00 à 22h00;non;;
9;6,216513;48,687987;Volkswagen Tomblaine;Concession automobile;Fonctionnel;Volkswagen;Identification par appel téléphonique au 0383183838;non;;gratuit;Ouvert à tous;Appel téléphonique;1;Obligatoire;non;oui;non;;
10;6,134858;48,694154;Renault Retail Group Nancy;Concession automobile;Fonctionnel;Renault;;non;;gratuit;Réservé aux client de la marque;Badge disponible sur place;1;possible;oui;de 9h00 à 12h00, puis de 13h30 à 19h00;non;Schneider Electric ;EVLink
11;6,251202;48,823826;Garage Privé;Particulier;Fonctionnel;Particulier;Identification par appel téléphonique au 0661489082;oui;Espèces;gratuit;Ouvert à tous;Appel téléphonique;3;possible;oui;oui;non;;
12;6,100345;48,568464;Particulier Xeuilley;Particulier;Fonctionnel;Particulier;;non;;gratuit;Ouvert à tous;Inconnu;1;possible;oui;Lorsque je suis présent !;non;;
13;6,34404;48,626425;Particulier Dombasle;Particulier;Fonctionnel;Particulier;;non;;gratuit;Réservés aux clients de l'établissement;Inconnu;1;possible;oui;;non;;
14;6,178844;48,616691;Thome - Ludres;Commerce;Fonctionnel;Thome;;non;;gratuit;Ouvert à tous;Inconnu;2;impossible;non;de 8h00 à 12h00, puis de 14h00 à 18h00;non;Legrand;Green'up Access
15;6,184066;48,639379;Tesla Supercharger Nancy;Concession automobile;Fonctionnel;Tesla;You need to ring the bell to open the gate at night;non;;gratuit;Ouvert à tous;Inconnu;4;Impossible;non;oui;non;;
16;6,245522;48,705552;Kia - Ford - Essey-lès-Nancy;Concession automobile;Fonctionnel;Kia - Ford;03 83 33 84 84;non;;gratuit;Réservé aux client de la marque;Aucun;2;Impossible;non;heures d'ouverture;non;;
17;6,241854;48,708509;MMA Assurance - Essey-lès-Nancy;Entreprise;Fonctionnel;MMA Assurance;"Accessible par le petit parking semi-privatif situé entre les deux bâtiments. Demandez à l'accueil de l'agence. 03.83.37.11.47";non;Espèces;payant;Ouvert à tous;Badge disponible sur place;2;Impossible;non;Lun au Ven de 9H00 à 18H00;non;Hager;Wallbox
18;6,123977;48,70186;EDF Kantic;Entreprise;Fonctionnel;EDF Sodestrel;;non;;gratuit;Ouvert à tous;Badge disponible sur place;4;Impossible;non;Lun à Sam de 7h00 à 19h00;non;;
19;6,128464;48,692841;Nissan - Laxou;Concession automobile;Fonctionnel;Nissan;KiWhi Pass, Nissan ZeroEmission Charge Pass, Renault ZE PASS (03-83-40-22-57);oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;1;Impossible;non;oui;non;DBT CEV;Quick charger
20;6,12838;48,691481;Auchan - Laxou;Commerce;Bientôt Disponible;Auchan;KiWhi Pass, Nissan ZeroEmission Charge Pass, Renault ZE PASS;oui;Carte opérateur;gratuit;Ouvert à tous;Badge à commander;2;Impossible;non;oui;non;DBT CEV;Quick charger
21;6,129924;48,690805;Volkswagen Laxou;Concession automobile;Fonctionnel;Volkswagen;Identification par appel téléphonique au 03 83 93 32 32;non;;gratuit;Réservé aux client de la marque;Appel téléphonique;3;Impossible;non;heures d'ouverture;non;;
